steckbrief_id,Climate change,Technological innovations and scientific advances,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy
1,0,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,0,1,0,1
62,0,0,0,0,0,1,0,0,0,0
75,1,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,1,0,0,0,0
129,0,0,0,0,0,1,0,0,0,0
147,0,1,0,1,1,0,0,0,0,0
178,0,0,0,0,0,1,0,0,0,0
219,0,0,0,0,0,1,0,0,0,0
234,0,0,0,0,0,0,1,0,2,0
257,0,0,0,0,0,1,0,0,0,0
263,0,0,0,0,0,1,0,0,0,0
267,0,0,1,0,0,0,0,0,0,0
