steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt
1,0,0,0,0,0,0,0,0,1
8,0,1,0,0,0,0,0,0,3
21,0,0,0,0,0,1,0,0,2
34,0,0,0,1,1,0,0,0,2
51,0,0,0,3,2,0,1,0,0
59,0,0,0,1,0,0,0,1,0
95,0,0,0,0,1,0,0,0,0
165,1,0,0,0,0,0,0,0,1
190,0,0,0,1,0,0,0,0,0
211,0,0,0,2,2,0,1,0,0
227,1,0,0,0,0,0,0,0,1
232,0,0,1,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,1
237,0,0,0,0,0,1,0,0,0
238,0,0,0,0,1,0,0,0,0
272,0,0,0,0,1,0,1,0,0
