id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
93,2,Salmonella spp.,Salmonella spp.,Salmonella spp.,Salmonella spp.,1.5,"[2181, 2173]"
111,1,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,2.0,[2176]
474,1,Enniatin,Ennitatine,Ennitatina,Enniatin,2.0,[2176]
26,1,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,Listeria monocytogenes,1.0,[2177]
106,1,Bacillus cereus (sensu lato),Bacillus cereus (sensu lato),Bacillus cereus (sensu lato),Bacillus cereus (sensu lato),1.0,[2181]
123,1,Salmonella Infantis,Salmonella Infantis,Salmonella Infantis,Salmonella Infantis,2.0,[2173]
244,1,Antibiotikaresistenzen,Antibiorésistance,Antibiotico-resistenza,Antibiotic resistance,2.0,[2173]
473,1,Beauvericin,Beauvéricine,Beauvericina,Beauvericin,2.0,[2176]
88,1,Campylobacter coli,Campylobacter coli,Campylobacter coli,Campylobacter coli,3.0,[2174]
87,1,Campylobacter jejuni,Campylobacter jejuni,Campylobacter jejuni,Campylobacter jejuni,3.0,[2174]
86,1,Campylobacter spp.,Campylobacter spp.,Campylobacter spp.,Campylobacter spp.,3.0,[2174]
127,1,Perfluoroctansulfonsäure (PFOS),acide perfluorooctanesulfonique (PFOS),acido perfluoroottansolfonico,Perfluorooctanesulfonic acid (PFOS),1.0,[2182]
187,1,Arsen,Arsenic,Arsenico,Arsenic,1.0,[2180]
1,1,Escherichia coli,Escherichia coli,Escherichia coli,Escherichia coli,1.0,[2175]
518,1,Nanoplastik,nanoplastique,nanoplastica,Nanoplastic,1.0,[2175]
96,1,Polystyrol (PS),Polystyrène (PS),Polistirene (PS) anche Polistirolo (PS),polystyrene (PS),1.0,[2175]
