id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
1,122,Nicht spezifiziert,Non spécifié,Non specificato,Unclassified,1.47,"[4, 42, 37, 28, 13, 14, 30, 39, 60, 54, 66, 8, 32, 47, 38, 19, 19, 93, 102, 117, 100, 122, 127, 126, 148, 166, 128, 135, 196, 190, 209, 180, 212, 243, 264, 276, 288, 290, 232, 295, 283, 271, 342, 223, 360, 300, 302, 356, 332, 350, 391, 414, 434, 389, 430, 516, 164, 303, 508, 625, 651, 377, 657, 720, 748, 849, 838, 861, 942, 1032, 1103, 1055, 156, 984, 984, 1151, 1239, 1234, 1372, 1351, 1339, 1386, 1386, 1386, 1481, 383, 1504, 1508, 1554, 1487, 1558, 1518, 1490, 1527, 1580, 1492, 1566, 1640, 1655, 1688, 1706, 1767, 1768, 1758, 1741, 1799, 1824, 1898, 1915, 1859, 1885, 1866, 1866, 1945, 1958, 1966, 1974, 1970, 1995, 1996, 2001, 2002]"
18,67,Diverse Lebensmittel,Aliments divers,Diverse derrate alimentari,Miscellaneous,1.24,"[50, 44, 193, 215, 1008, 1249, 1273, 1290, 1274, 1270, 1300, 1308, 1316, 1329, 1344, 1370, 1311, 1397, 1396, 1423, 1384, 1476, 1442, 1168, 751, 744, 674, 634, 433, 410, 368, 364, 363, 1516, 1536, 1541, 1551, 1550, 1548, 1533, 1539, 1609, 1557, 1624, 1594, 1593, 1623, 1670, 1687, 1693, 1698, 1678, 1648, 1737, 1718, 1685, 1669, 1744, 1746, 1747, 1769, 1791, 1787, 1800, 1871, 1976, 1998]"
82,59,Wasser,Eau,Acqua,Waters,1.31,"[49, 61, 73, 87, 63, 150, 201, 289, 366, 426, 613, 623, 643, 641, 618, 638, 745, 926, 1011, 1014, 1031, 1045, 1079, 1117, 1276, 1263, 1327, 1354, 1345, 1425, 1353, 57, 1501, 1523, 1535, 1496, 1596, 1616, 1673, 1721, 1743, 1635, 1708, 1740, 1753, 1760, 1762, 1778, 1788, 1725, 1810, 1848, 1854, 1910, 1918, 1931, 1930, 1975, 1991]"
60,55,Fische,Poissons,Pesce,Fish,1.31,"[98, 85, 124, 132, 285, 278, 246, 349, 321, 554, 273, 580, 566, 633, 616, 658, 680, 722, 717, 930, 922, 1004, 1025, 1032, 1173, 1178, 1193, 1200, 1185, 1314, 1361, 1291, 1383, 1304, 1417, 1473, 1451, 1530, 1592, 1688, 1690, 1727, 1715, 1650, 1658, 1745, 1763, 1772, 1771, 1789, 1792, 1913, 1864, 1933, 1962]"
9,54,"Fische, Meeresfrüchte, Amphibien und Reptilien","Poissons, fruits de mer, amphibiens et reptiles","Pesce, crostacei, frutti di mare e anfibi","Fish, Shellfish And Amphibians",1.31,"[50, 53, 89, 150, 183, 278, 296, 450, 502, 729, 789, 929, 878, 940, 947, 1097, 1127, 1260, 1238, 1288, 1235, 1262, 1216, 1296, 1350, 1320, 1393, 1429, 1174, 1477, 1482, 1519, 1531, 1534, 1503, 1512, 1555, 1683, 1691, 1722, 1776, 1777, 1783, 1734, 1826, 1818, 1895, 1878, 1941, 1932, 1954, 1963, 1982, 2000]"
58,52,Fleischersatz,Substituts de viande,Sostituti della carne,Meat Substitutes,1.44,"[80, 120, 124, 163, 169, 202, 348, 370, 470, 562, 700, 934, 109, 1032, 151, 1063, 1069, 1047, 1147, 984, 1197, 1138, 1140, 1223, 1271, 1231, 1245, 1220, 1331, 1356, 1336, 1287, 1285, 1299, 1377, 1373, 1386, 1395, 1404, 621, 1525, 1526, 1618, 1571, 1560, 1564, 1710, 1735, 1809, 1916, 1997, 1980]"
34,50,Früchte,Fruits,Frutta,Fruits,1.34,"[40, 9, 21, 18, 165, 234, 238, 269, 250, 420, 465, 461, 519, 551, 520, 620, 750, 794, 886, 864, 918, 974, 1032, 1066, 1166, 1192, 1219, 1250, 1240, 1205, 1259, 1310, 1369, 1342, 1360, 1358, 1409, 429, 1599, 996, 1681, 1761, 1838, 1905, 1926, 1858, 1938, 1952, 1964, 1990]"
8,49,"Fleisch, Fleischprodukte und Fleischersatz","Viandes, produits à base de viande et substituts de viande","Carne, prodotti di carne e sostituti della carne","Meat, Meat Products And Substitutes",1.29,"[50, 55, 74, 94, 67, 125, 144, 139, 254, 349, 579, 545, 203, 672, 656, 639, 715, 854, 883, 892, 900, 882, 924, 1039, 1082, 1092, 1213, 1381, 1406, 1545, 1579, 1638, 1692, 1709, 1723, 1730, 1735, 1739, 1732, 1754, 1810, 1807, 1822, 1919, 1879, 1897, 1957, 1965, 1986]"
3,47,Gemüse,Légumes,Ortaggi,Vegetables,1.49,"[50, 40, 41, 92, 18, 217, 224, 220, 251, 261, 245, 371, 407, 52, 487, 519, 520, 794, 806, 907, 864, 922, 1065, 1057, 1153, 1166, 1182, 1192, 1219, 1229, 1250, 923, 948, 1186, 1342, 1283, 1403, 1453, 1654, 1717, 1728, 1810, 1853, 1890, 1960, 1964, 1990]"
23,45,"Blattgemüse (ohne Kohlgemüse), Blattsalate und Algen","Légumes-feuilles (excl. chou), mescluns et algues","Verdure a foglie (esclusi cavoli), insalate a foglie e alghe",Leafy Vegetables (Except Cabbages),1.51,"[35, 85, 159, 213, 280, 420, 428, 427, 515, 550, 615, 723, 735, 886, 879, 921, 956, 971, 1024, 1042, 1087, 1106, 1082, 772, 1201, 1343, 1369, 1365, 1280, 1281, 1434, 1436, 1380, 1399, 1603, 1577, 1715, 1717, 1814, 1817, 1707, 1905, 1909, 1952, 1961]"
