id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
18,46,Diverse Lebensmittel,Aliments divers,Diverse derrate alimentari,Miscellaneous,1.2,"[1008, 1249, 1273, 1290, 1274, 1270, 1300, 1308, 1316, 1329, 1344, 1370, 1311, 1397, 1396, 1423, 1384, 1476, 1442, 1168, 1516, 1536, 1541, 1551, 1550, 1548, 1533, 1539, 1609, 1557, 1624, 1594, 1593, 1623, 1670, 1687, 1693, 1698, 1678, 1648, 1737, 1718, 1685, 1669, 1744, 1746]"
58,34,Fleischersatz,Substituts de viande,Sostituti della carne,Meat Substitutes,1.47,"[934, 1032, 1063, 1069, 1047, 1147, 984, 1197, 1138, 1140, 1223, 1271, 1231, 1245, 1220, 1331, 1356, 1336, 1287, 1285, 1299, 1377, 1373, 1386, 1395, 1404, 1525, 1526, 1618, 1571, 1560, 1564, 1710, 1735]"
1,32,Nicht spezifiziert,Non spécifié,Non specificato,Unclassified,1.41,"[942, 1032, 1103, 1055, 984, 984, 1151, 1239, 1234, 1372, 1351, 1339, 1386, 1386, 1386, 1481, 1504, 1508, 1554, 1487, 1558, 1518, 1490, 1527, 1580, 1492, 1566, 1640, 1655, 1688, 1706, 1741]"
9,28,"Fische, Meeresfrüchte, Amphibien und Reptilien","Poissons, fruits de mer, amphibiens et reptiles","Pesce, crostacei, frutti di mare e anfibi","Fish, Shellfish And Amphibians",1.25,"[929, 940, 947, 1097, 1127, 1260, 1238, 1288, 1235, 1262, 1216, 1296, 1350, 1320, 1393, 1429, 1174, 1477, 1482, 1519, 1531, 1534, 1503, 1512, 1555, 1683, 1691, 1722]"
60,27,Fische,Poissons,Pesce,Fish,1.22,"[930, 922, 1004, 1025, 1032, 1173, 1178, 1193, 1200, 1185, 1314, 1361, 1291, 1383, 1304, 1417, 1473, 1451, 1530, 1592, 1688, 1690, 1727, 1715, 1650, 1658, 1745]"
82,27,Wasser,Eau,Acqua,Waters,1.26,"[926, 1011, 1014, 1031, 1045, 1079, 1117, 1276, 1263, 1327, 1354, 1345, 1425, 1353, 1501, 1523, 1535, 1496, 1596, 1616, 1673, 1725, 1721, 1743, 1635, 1708, 1740]"
23,24,"Blattgemüse (ohne Kohlgemüse), Blattsalate und Algen","Légumes-feuilles (excl. chou), mescluns et algues","Verdure a foglie (esclusi cavoli), insalate a foglie e alghe",Leafy Vegetables (Except Cabbages),1.42,"[886, 921, 956, 971, 1024, 1042, 1087, 1106, 1082, 1201, 1343, 1369, 1365, 1280, 1281, 1434, 1436, 1380, 1399, 1603, 1577, 1715, 1707, 1717]"
8,21,"Fleisch, Fleischprodukte und Fleischersatz","Viandes, produits à base de viande et substituts de viande","Carne, prodotti di carne e sostituti della carne","Meat, Meat Products And Substitutes",1.19,"[883, 892, 900, 882, 924, 1039, 1082, 1092, 1213, 1381, 1406, 1545, 1579, 1638, 1692, 1709, 1723, 1730, 1735, 1739, 1732]"
3,21,Gemüse,Légumes,Ortaggi,Vegetables,1.38,"[907, 922, 1065, 1057, 1153, 1166, 1182, 1192, 1219, 1229, 1250, 923, 948, 1186, 1342, 1283, 1403, 1453, 1654, 1728, 1717]"
34,21,Früchte,Fruits,Frutta,Fruits,1.19,"[886, 918, 974, 1032, 1066, 1166, 1192, 1219, 1250, 1240, 1205, 1259, 1310, 1369, 1342, 1360, 1358, 1409, 1599, 996, 1681]"
54,15,Geflügel,Volailles,Pollame,Poultry,1.6,"[1004, 1037, 1181, 1214, 923, 1217, 1267, 1278, 1218, 1295, 1414, 1493, 1583, 1660, 1674]"
