matrix_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Kreislaufwirtschaft,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Gesellschaft,Umwelt,Wirtschaft,Politik
1,0,0,0,2,1,1,0,2,2
3,0,0,1,0,0,0,0,0,1
7,0,0,0,0,0,0,0,1,1
8,0,0,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,1,0
18,1,0,0,0,0,1,1,5,1
22,0,0,0,0,1,0,0,1,0
34,0,0,1,0,0,0,0,1,1
38,0,0,0,0,0,0,0,1,0
42,0,0,0,0,1,0,0,0,0
48,0,0,0,1,0,0,0,0,0
60,0,0,0,0,1,0,0,1,0
67,0,0,0,0,1,0,0,2,0
133,0,0,0,0,1,0,0,1,1
138,0,0,0,1,0,0,0,0,0
148,0,0,0,0,0,0,0,3,1
155,0,1,0,0,2,1,0,0,1
