matrix_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Gesellschaft,Umwelt,Wirtschaft,Politik
1,0,0,0,2,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,1,0
11,1,1,0,0,0,0,0,3,0
18,0,0,1,0,1,3,0,6,1
34,0,0,0,0,0,0,0,1,0
42,0,0,0,0,1,0,0,0,0
48,0,0,0,1,0,0,0,1,0
60,0,0,0,0,1,0,1,2,0
93,0,0,0,0,0,0,0,1,0
133,0,0,0,0,1,0,0,0,1
138,0,0,0,1,0,0,0,0,0
148,0,0,0,0,0,0,0,2,1
