id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
91,4,Pestizide,pesticides,pesticidi,pesticide,1.0,"[2441, 2401, 2428, 2473]"
126,4,Per- und polyfluorierte Alkylverbindungen (PFAS),Substances per- et polyfluoroalkylées (PFAS),Sostanze per- e polifluoroalchiliche (PFAS),Per- and polyfluoroalkyl substances (PFAS),1.5,"[2406, 2426, 2398, 2440]"
102,2,Blei,Plomb,Piombo,Lead,1.0,"[2400, 2418]"
165,2,Cadmium,Cadmium,Cadmio,Cadmium,1.0,"[2418, 2438]"
111,2,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.0,"[2401, 2450]"
518,2,Nanoplastik,nanoplastique,nanoplastica,Nanoplastic,1.5,"[2456, 2413]"
125,2,Mikroplastik,microplastiques,microplastica,microplastics,1.0,"[2456, 2417]"
483,1,Perfluoroctanoat (PFOA),perfluorooctanoate (PFOA),perfluorottanoato (PFOA),perfluorooctanoate (PFOA),1.0,[2406]
127,1,Perfluoroctansulfonsäure (PFOS),acide perfluorooctanesulfonique (PFOS),acido perfluoroottansolfonico,Perfluorooctanesulfonic acid (PFOS),1.0,[2406]
128,1,Schwermetalle,métaux lourds,metalli pesanti,heavy metals,1.0,[2400]
425,1,Kupfer,Cuivre,Rame,Copper,1.0,[2418]
187,1,Arsen,Arsenic,Arsenico,Arsenic,1.0,[2418]
93,1,Salmonella spp.,Salmonella spp.,Salmonella spp.,Salmonella spp.,1.0,[2401]
315,1,Ethylcarbamat (Urethan),Éthylcarbamate (Uréthane),Etilcarbammato (Uretano),Ethyl Carbamate,1.0,[2434]
96,1,Polystyrol (PS),Polystyrène (PS),Polistirene (PS) anche Polistirolo (PS),polystyrene (PS),1.0,[2408]
203,1,Ochratoxin A (OTA),Ochratoxine A (OTA),Ocratossina A (OTA),Ochratoxin A (OTA),1.0,[2450]
180,1,Phthalate,phtalates,ftalati,phthalates,2.0,[2426]
548,1,Bisphenole,Bisphénols,Bisfenoli,Bisphenols,2.0,[2426]
503,1,Aflatoxin,Aflatoxine,Aflatossina,Aflatoxin,1.0,[2427]
42,1,Trifluoracetat (TFA),Trifluoracétate (TFA),Trifluoracetato (TFA),Trifluoracetate (TFA),1.0,[2437]
371,1,Heterozyklische aromatische Amine,Amines aromatiques hétérocycliques,Ammine aromatiche eterocicliche,Heterocyclic Aromatic Amines,1.0,[2433]
535,1,Hexan,Hexane,Esano,Hexane,1.0,[2414]
246,1,Acrylamid,Acrylamide,Acrilammide,Acrylamide,1.0,[2420]
550,1,Colchizin,Colchicine,Colchicina,Colchicine,1.0,[2469]
174,1,Fungizid,Fongicide,Fungicida,Fungicide,1.0,[2473]
551,1,Akarizide,Acaricides,Acaricidi,Acaricides ,1.0,[2473]
552,1,Insektizide,Insektizide,Insetticidi,Insecticides,1.0,[2473]
