steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
4,0,0,0,0,0,0,0,0,0,1,0,0
8,0,4,0,0,0,1,0,0,4,15,3,0
12,0,0,0,0,0,0,1,0,0,0,0,0
21,0,3,0,0,0,0,0,0,2,6,1,0
30,1,0,0,0,0,0,0,0,0,0,0,0
34,7,3,0,0,1,2,1,0,0,7,0,0
35,0,3,0,0,2,0,1,0,1,3,0,0
36,7,0,2,0,0,0,0,1,0,5,2,0
49,0,0,0,0,0,1,0,0,0,0,0,0
51,0,1,0,0,0,2,0,0,0,0,0,0
58,0,0,0,0,0,1,0,0,0,0,0,0
63,0,0,0,0,0,1,0,0,0,0,0,0
64,0,0,0,0,0,1,0,0,0,0,0,0
75,1,0,0,0,0,0,0,0,0,0,0,0
83,0,1,1,0,0,0,0,0,0,2,0,0
86,1,0,0,0,0,0,0,0,0,2,0,0
91,0,0,0,0,0,0,0,0,0,1,0,1
95,0,0,0,0,1,0,0,0,0,0,0,0
123,0,0,0,0,1,0,0,0,0,0,0,0
125,0,3,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,1,0,0
128,0,1,0,0,0,0,0,0,0,0,0,0
136,1,0,0,0,1,0,0,0,0,0,0,0
143,0,1,0,1,0,0,0,0,0,0,0,0
147,0,1,0,0,2,1,0,0,0,0,0,0
148,0,0,0,0,0,1,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,1,0,0
165,1,0,0,0,0,0,0,0,0,0,0,0
180,0,1,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,2,0,0
205,0,0,0,0,0,1,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,1,0,0
211,0,0,0,0,0,1,0,0,0,0,0,0
219,0,0,0,0,0,0,1,0,0,0,0,0
220,0,1,1,0,0,0,0,0,0,2,1,0
222,0,0,0,0,0,2,0,0,0,1,0,0
227,1,0,0,0,0,0,0,0,0,1,0,0
231,0,0,0,0,0,1,0,0,0,0,0,0
234,0,1,3,0,1,0,0,2,0,10,1,0
238,0,3,0,0,0,0,0,0,1,0,0,0
250,0,0,0,0,0,0,0,0,0,1,0,0
251,0,1,0,1,0,0,0,0,0,0,0,1
252,0,0,0,0,1,0,0,0,0,0,0,0
259,0,0,0,0,0,1,0,0,0,4,2,0
273,0,0,0,0,0,3,0,0,0,0,0,0
277,0,1,0,0,0,3,0,0,0,0,0,0
289,0,1,0,0,0,0,0,0,0,0,0,0
295,1,0,1,0,0,0,0,1,0,1,1,0
