matrix_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
1,0,2,0,0,1,3,1,0,3,1,3,0
3,1,0,0,0,0,1,0,0,0,1,0,0
5,1,0,0,0,0,0,0,0,0,4,1,0
6,2,0,0,0,1,2,0,1,0,6,1,0
7,1,0,0,0,0,0,0,0,0,1,0,0
8,2,0,1,0,1,1,0,1,0,1,2,0
9,0,0,0,0,0,0,0,1,0,8,1,0
10,0,0,0,0,0,0,0,0,0,1,0,0
11,0,0,0,0,0,0,0,1,1,3,2,0
12,0,1,0,0,0,0,0,0,0,0,0,1
14,0,0,0,0,0,1,0,0,0,0,0,0
15,0,0,0,0,0,1,0,0,0,0,0,0
16,0,0,0,0,0,1,0,0,0,0,0,0
18,8,13,2,2,5,7,2,4,3,24,5,1
22,0,0,1,0,1,0,0,0,0,0,0,0
23,1,1,0,0,0,0,0,0,0,2,1,0
25,0,0,0,0,0,0,0,0,0,1,0,0
32,0,0,0,0,0,0,0,0,0,1,0,0
34,0,1,0,0,0,0,0,0,0,2,1,1
36,0,0,0,0,0,0,0,0,0,1,1,0
39,0,0,0,0,0,1,0,0,0,0,0,0
48,0,1,0,0,0,0,0,0,0,3,1,0
49,0,0,0,0,0,0,0,0,0,1,0,0
50,0,0,0,0,0,0,0,0,0,1,0,0
58,0,0,0,0,0,2,0,0,0,0,0,0
60,2,0,0,0,0,0,0,0,0,5,3,0
65,0,0,0,0,0,0,0,0,1,0,0,0
67,0,0,0,0,0,0,0,0,0,1,1,0
73,0,0,0,0,0,2,0,0,0,0,0,0
81,0,0,0,0,0,1,0,0,0,1,0,0
82,1,2,0,0,0,0,0,3,0,14,0,1
84,0,0,0,0,0,0,0,0,0,1,0,0
86,0,0,0,0,0,0,0,0,1,1,0,0
93,0,0,0,0,0,0,0,0,0,2,1,0
98,0,0,0,0,0,2,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,1,0,0,0
133,0,0,0,0,0,0,0,0,0,1,0,0
142,0,0,0,0,0,1,0,0,0,0,0,0
144,0,0,0,0,0,2,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,1,0,0
155,0,0,0,0,1,0,0,0,0,0,0,0
157,0,0,0,0,0,1,0,0,0,0,0,0
