steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Gesellschaft,Umwelt,Wirtschaft
8,0,0,0,0,0,0,0,3,0
21,0,0,0,0,0,0,0,2,0
34,1,0,0,0,1,2,0,0,0
35,0,0,0,0,0,0,0,1,0
36,2,0,2,0,0,0,1,2,1
51,0,0,0,0,0,1,0,0,0
125,0,1,0,0,0,0,0,0,0
143,0,1,0,1,0,0,0,0,0
148,0,0,0,0,0,1,0,0,0
160,0,0,0,0,0,0,0,1,0
205,0,0,0,0,0,1,0,0,0
231,0,0,0,0,0,1,0,0,0
234,0,0,0,0,0,0,0,1,0
238,0,1,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,2,0
277,0,0,0,0,0,2,0,0,0
289,0,1,0,0,0,0,0,0,0
