steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Umwelt,Wirtschaft
4,0,0,0,0,0,0,0,1,0
8,0,1,0,0,0,0,0,0,0
12,0,0,0,0,0,1,0,0,0
21,0,1,0,0,0,0,0,0,0
34,1,0,0,0,0,0,0,0,0
36,2,0,0,0,0,0,0,2,1
51,0,1,0,0,1,0,0,0,0
58,0,0,0,0,1,0,0,0,0
86,1,0,0,0,0,0,0,2,0
222,0,0,0,0,1,0,0,1,0
234,0,0,1,0,0,0,1,0,0
251,0,0,0,1,0,0,0,0,0
273,0,0,0,0,1,0,0,0,0
