id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
365,1,Anisakidae,Anisakidae,Anisakidae,Anisakidae,2.0,[1151]
366,1,Rhaphidascarididae,Rhaphidascarididae,Rhaphidascarididae,Rhaphidascarididae,2.0,[1151]
376,1,Histamin,Histamine,Istamina,Histamine,1.0,[1173]
111,1,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,2.0,[1558]
442,1,Phytotoxin,Phytotoxine,Fitotossina,Phytotoxin,2.0,[1558]
443,1,5-hydroxymethylfurfural,5-hydroxyméthylfurfurale,5-Idrossimetilfurfurale,5-hydroxymethylfurfural,2.0,[1558]
125,1,Mikroplastik,microplastiques,microplastica,microplastics,2.0,[1558]
109,1,Nanopartikeln,Nanoparticules,Nanoparticole,Nanoparticles,2.0,[1558]
61,1,Atropin,atropine,atropina,atropine,2.0,[1087]
352,1,Scopolamin,scopolamine,scopolamina,scopolamine,2.0,[1087]
