gefahr_id,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy
1,0,0,0,1,0,0,0,0
2,0,0,0,0,0,0,1,0
8,0,0,0,0,0,0,1,0
9,0,0,1,0,1,0,0,0
19,0,1,1,0,0,0,0,0
26,1,1,1,1,1,1,0,0
31,0,0,1,0,1,0,0,0
63,0,0,0,0,0,0,0,1
93,0,0,0,1,0,0,1,0
111,0,0,0,0,0,0,2,0
119,0,0,0,0,0,0,1,0
244,0,0,0,2,0,0,0,2
261,0,0,1,0,1,0,0,0
288,0,0,0,0,0,0,1,0
289,0,0,0,0,0,0,1,0
333,0,0,1,0,1,0,0,0
457,0,0,0,0,0,0,1,0
540,0,0,0,0,0,0,1,0
580,0,0,0,0,0,0,1,0
581,0,0,0,0,0,0,1,0
