;YearWeekIso;LastDayOfWeek;Variable;Number
0;202440;2024-10-06;farms_total_count;11767
1;202440;2024-10-06;farms_to_examine_count;11512
2;202440;2024-10-06;farms_examined_count;255
3;202440;2024-10-06;farms_examined_positive_count;53
4;202440;2024-10-06;farms_examined_negative_count;202
5;202441;2024-10-13;farms_total_count;11871
6;202441;2024-10-13;farms_to_examine_count;11159
7;202441;2024-10-13;farms_examined_count;712
8;202441;2024-10-13;farms_examined_positive_count;149
9;202441;2024-10-13;farms_examined_negative_count;563
10;202442;2024-10-20;farms_total_count;11979
11;202442;2024-10-20;farms_to_examine_count;10657
12;202442;2024-10-20;farms_examined_count;1322
13;202442;2024-10-20;farms_examined_positive_count;279
14;202442;2024-10-20;farms_examined_negative_count;1043
15;202443;2024-10-27;farms_total_count;12023
16;202443;2024-10-27;farms_to_examine_count;10106
17;202443;2024-10-27;farms_examined_count;1917
18;202443;2024-10-27;farms_examined_positive_count;416
19;202443;2024-10-27;farms_examined_negative_count;1501
20;202444;2024-11-03;farms_total_count;12080
21;202444;2024-11-03;farms_to_examine_count;9676
22;202444;2024-11-03;farms_examined_count;2404
23;202444;2024-11-03;farms_examined_positive_count;520
24;202444;2024-11-03;farms_examined_negative_count;1884
25;202445;2024-11-10;farms_total_count;12122
26;202445;2024-11-10;farms_to_examine_count;9215
27;202445;2024-11-10;farms_examined_count;2907
28;202445;2024-11-10;farms_examined_positive_count;609
29;202445;2024-11-10;farms_examined_negative_count;2298
30;202446;2024-11-17;farms_total_count;12162
31;202446;2024-11-17;farms_to_examine_count;8807
32;202446;2024-11-17;farms_examined_count;3355
33;202446;2024-11-17;farms_examined_positive_count;706
34;202446;2024-11-17;farms_examined_negative_count;2649
35;202447;2024-11-24;farms_total_count;12200
36;202447;2024-11-24;farms_to_examine_count;8283
37;202447;2024-11-24;farms_examined_count;3917
38;202447;2024-11-24;farms_examined_positive_count;801
39;202447;2024-11-24;farms_examined_negative_count;3116
40;202448;2024-12-01;farms_total_count;12235
41;202448;2024-12-01;farms_to_examine_count;7715
42;202448;2024-12-01;farms_examined_count;4520
43;202448;2024-12-01;farms_examined_positive_count;902
44;202448;2024-12-01;farms_examined_negative_count;3618
45;202449;2024-12-08;farms_total_count;12260
46;202449;2024-12-08;farms_to_examine_count;7167
47;202449;2024-12-08;farms_examined_count;5093
48;202449;2024-12-08;farms_examined_positive_count;1015
49;202449;2024-12-08;farms_examined_negative_count;4078
50;202450;2024-12-15;farms_total_count;12288
51;202450;2024-12-15;farms_to_examine_count;6525
52;202450;2024-12-15;farms_examined_count;5763
53;202450;2024-12-15;farms_examined_positive_count;1181
54;202450;2024-12-15;farms_examined_negative_count;4582
55;202451;2024-12-22;farms_total_count;12311
56;202451;2024-12-22;farms_to_examine_count;5915
57;202451;2024-12-22;farms_examined_count;6396
58;202451;2024-12-22;farms_examined_positive_count;1288
59;202451;2024-12-22;farms_examined_negative_count;5108
60;202452;2024-12-29;farms_total_count;12322
61;202452;2024-12-29;farms_to_examine_count;5749
62;202452;2024-12-29;farms_examined_count;6573
63;202452;2024-12-29;farms_examined_positive_count;1317
64;202452;2024-12-29;farms_examined_negative_count;5256
65;202501;2025-01-05;farms_total_count;12344
66;202501;2025-01-05;farms_to_examine_count;5565
67;202501;2025-01-05;farms_examined_count;6779
68;202501;2025-01-05;farms_examined_positive_count;1365
69;202501;2025-01-05;farms_examined_negative_count;5414
70;202502;2025-01-12;farms_total_count;12360
71;202502;2025-01-12;farms_to_examine_count;5129
72;202502;2025-01-12;farms_examined_count;7231
73;202502;2025-01-12;farms_examined_positive_count;1416
74;202502;2025-01-12;farms_examined_negative_count;5815
75;202503;2025-01-19;farms_total_count;12383
76;202503;2025-01-19;farms_to_examine_count;4652
77;202503;2025-01-19;farms_examined_count;7731
78;202503;2025-01-19;farms_examined_positive_count;1472
79;202503;2025-01-19;farms_examined_negative_count;6259
80;202504;2025-01-26;farms_total_count;12401
81;202504;2025-01-26;farms_to_examine_count;4134
82;202504;2025-01-26;farms_examined_count;8267
83;202504;2025-01-26;farms_examined_positive_count;1508
84;202504;2025-01-26;farms_examined_negative_count;6759
