"TIMESTEP","BVD_AMPEL","N_FARMS"
"22.08.2024","green","29'548"
"22.08.2024","orange","4'824"
"22.08.2024","red","116"
"23.08.2024","green","29'553"
"23.08.2024","orange","4'819"
"23.08.2024","red","116"
"24.08.2024","green","29'553"
"24.08.2024","orange","4'819"
"24.08.2024","red","116"
"25.08.2024","green","29'551"
"25.08.2024","orange","4'822"
"25.08.2024","red","115"
"26.08.2024","green","29'554"
"26.08.2024","orange","4'819"
"26.08.2024","red","115"
"27.08.2024","green","29'556"
"27.08.2024","orange","4'817"
"27.08.2024","red","115"
"28.08.2024","green","29'274"
"28.08.2024","orange","5'099"
"28.08.2024","red","115"
"29.08.2024","green","29'274"
"29.08.2024","orange","5'099"
"29.08.2024","red","115"
"30.08.2024","green","29'566"
"30.08.2024","orange","4'810"
"30.08.2024","red","113"
"31.08.2024","green","29'572"
"31.08.2024","orange","4'801"
"31.08.2024","red","116"
"01.09.2024","green","29'566"
"01.09.2024","orange","4'806"
"01.09.2024","red","116"
"02.09.2024","green","29'566"
"02.09.2024","orange","4'806"
"02.09.2024","red","116"
"03.09.2024","green","29'572"
"03.09.2024","orange","4'800"
"03.09.2024","red","116"
"04.09.2024","green","29'577"
"04.09.2024","orange","4'796"
"04.09.2024","red","114"
"05.09.2024","green","29'582"
"05.09.2024","orange","4'792"
"05.09.2024","red","114"
"06.09.2024","green","29'583"
"06.09.2024","orange","4'794"
"06.09.2024","red","111"
"07.09.2024","green","29'584"
"07.09.2024","orange","4'793"
"07.09.2024","red","111"
"08.09.2024","green","29'586"
"08.09.2024","orange","4'793"
"08.09.2024","red","111"
"09.09.2024","green","29'586"
"09.09.2024","orange","4'793"
"09.09.2024","red","111"
"10.09.2024","green","29'592"
"10.09.2024","orange","4'790"
"10.09.2024","red","108"
"11.09.2024","green","29'597"
"11.09.2024","orange","4'787"
"11.09.2024","red","107"
"12.09.2024","green","29'597"
"12.09.2024","orange","4'784"
"12.09.2024","red","110"
"13.09.2024","green","29'600"
"13.09.2024","orange","4'784"
"13.09.2024","red","107"
"14.09.2024","green","29'602"
"14.09.2024","orange","4'782"
"14.09.2024","red","107"
"15.09.2024","green","15'766"
"15.09.2024","orange","18'723"
"15.09.2024","red","2"
"16.09.2024","green","15'767"
"16.09.2024","orange","18'721"
"16.09.2024","red","3"
"17.09.2024","green","29'614"
"17.09.2024","orange","4'772"
"17.09.2024","red","105"
"18.09.2024","green","29'613"
"18.09.2024","orange","4'773"
"18.09.2024","red","105"
"19.09.2024","green","29'617"
"19.09.2024","orange","4'771"
"19.09.2024","red","103"
"20.09.2024","green","29'619"
"20.09.2024","orange","4'769"
"20.09.2024","red","103"
"21.09.2024","green","29'619"
"21.09.2024","orange","4'769"
"21.09.2024","red","103"
"22.09.2024","green","29'622"
"22.09.2024","orange","4'770"
"22.09.2024","red","101"
"23.09.2024","green","29'620"
"23.09.2024","orange","4'772"
"23.09.2024","red","101"
"24.09.2024","green","29'618"
"24.09.2024","orange","4'772"
"24.09.2024","red","103"
"25.09.2024","green","29'614"
"25.09.2024","orange","4'770"
"25.09.2024","red","109"
"26.09.2024","green","29'618"
"26.09.2024","orange","4'766"
"26.09.2024","red","1'09"
