gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft
9,0,0,0,1,0,0,0,0,0,0
26,0,0,0,0,1,0,1,0,0,0
45,0,1,0,0,2,0,0,0,0,0
49,0,0,0,0,1,0,0,0,0,0
79,0,0,0,0,6,0,0,0,0,0
91,0,0,0,0,0,1,0,0,0,0
93,0,0,0,0,0,0,1,0,0,1
102,0,0,0,0,3,0,0,0,1,0
111,1,1,0,1,2,0,0,0,0,0
113,0,0,0,0,1,0,0,0,0,0
115,0,0,0,0,1,0,0,0,0,0
128,0,0,0,0,2,0,0,0,1,0
137,1,0,1,0,0,0,0,0,1,0
165,0,0,0,0,3,0,0,0,1,0
166,0,0,0,0,1,0,0,0,1,0
167,0,0,0,0,1,0,0,0,1,0
187,0,0,0,0,3,0,0,0,1,0
203,0,1,0,1,1,0,0,0,0,0
225,0,0,0,0,1,0,0,0,0,0
227,0,0,0,0,1,0,0,0,0,0
234,0,0,0,0,2,0,0,0,0,0
271,0,0,0,0,1,0,0,0,0,0
273,0,0,0,0,1,0,0,0,0,0
298,0,0,0,1,1,0,0,0,0,0
333,0,0,0,1,0,0,0,0,0,0
368,0,1,0,0,0,0,0,0,0,0
401,0,0,0,1,0,0,0,0,0,0
402,0,0,0,0,1,0,0,0,0,0
422,0,0,0,0,1,0,0,0,0,0
448,0,0,0,0,1,0,0,0,0,0
468,0,0,0,0,1,0,0,0,0,0
474,0,0,0,1,1,0,0,0,0,0
492,0,0,0,0,1,0,0,0,0,0
503,0,0,0,1,1,0,0,0,0,0
507,0,0,0,0,1,0,0,0,0,0
516,0,0,0,0,0,0,1,0,0,0
528,0,0,0,1,9,0,2,1,0,2
536,0,0,0,0,1,0,0,0,0,0
538,0,0,0,0,1,0,0,0,0,0
