matrix_id,Changement climatique,Innovations technologiques et progrès scientifiques,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique
1,0,0,0,5,11,0,3,0,0,2,2
3,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0
7,0,1,0,1,0,0,0,0,0,0,0
8,0,1,0,0,2,0,0,0,0,0,0
9,1,0,0,0,0,0,0,1,1,0,0
11,0,1,0,0,0,0,0,0,0,0,0
12,0,1,0,0,1,0,0,0,0,0,0
14,0,0,0,0,6,0,1,0,0,1,0
15,0,1,0,0,0,0,1,0,0,0,0
18,1,2,0,2,17,0,3,1,0,1,2
21,0,0,0,0,1,0,0,0,0,0,0
22,0,0,0,0,1,0,0,0,0,1,0
26,0,0,0,0,1,0,0,0,0,0,0
31,0,0,1,0,1,0,1,0,0,0,0
34,0,1,0,1,0,1,0,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,0
38,0,1,0,0,1,0,0,0,0,0,0
39,0,0,0,0,1,0,0,0,0,0,0
50,0,0,0,0,1,0,0,0,0,0,0
52,0,0,0,0,0,0,1,0,0,0,0
56,0,0,0,0,1,0,0,0,0,0,0
58,0,5,0,6,13,0,2,1,0,1,0
59,0,0,0,1,1,0,0,0,0,0,0
67,0,0,0,1,0,0,1,0,1,0,0
72,0,0,0,0,1,0,0,0,0,0,0
74,0,0,0,0,1,0,0,0,0,0,0
78,0,0,0,0,1,0,0,0,0,0,0
79,0,0,0,0,1,0,0,0,0,0,0
80,0,0,0,0,10,0,1,0,0,0,1
81,0,0,0,0,2,0,0,0,0,0,0
82,0,0,0,0,1,0,0,0,0,0,0
98,0,0,0,1,4,0,2,0,1,2,1
100,0,0,1,0,2,0,0,0,1,0,0
103,0,0,0,0,1,0,0,0,0,0,0
104,0,0,0,0,1,0,0,0,0,0,0
118,0,1,0,0,0,0,2,0,0,1,0
120,0,1,0,0,0,0,1,0,0,0,0
141,0,0,0,0,1,0,0,0,0,0,0
143,0,0,0,0,1,0,0,0,0,0,0
155,0,0,0,0,1,0,1,0,0,0,1
156,0,0,0,0,1,0,0,0,0,0,0
