steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
25,0,0,0,1,1,0,0,0,0,0
34,1,1,0,1,1,0,0,0,0,0
36,3,0,1,0,0,0,0,2,1,0
51,0,1,0,0,2,0,0,0,0,0
54,0,0,0,0,1,0,0,0,0,0
81,0,0,0,0,0,1,0,0,0,0
95,0,1,0,4,20,4,1,0,3,0
118,0,0,0,0,0,1,0,0,0,0
120,0,0,0,0,0,1,0,0,0,0
123,0,0,0,1,0,0,0,0,0,0
140,0,1,0,1,2,0,0,0,0,0
147,0,0,0,0,3,0,0,0,0,0
148,0,0,0,0,1,0,0,0,0,0
174,0,0,0,0,1,1,0,0,0,0
205,0,0,0,0,1,0,0,0,0,0
211,0,0,0,0,2,0,0,0,0,0
222,0,0,0,0,2,0,0,1,0,0
231,0,0,0,0,1,0,0,0,0,0
232,0,0,0,0,0,1,0,0,0,0
233,0,0,0,0,5,2,0,0,2,1
235,0,1,0,0,0,0,0,0,0,0
238,0,2,0,0,0,0,1,0,0,0
241,0,0,0,0,1,1,0,0,0,0
244,0,0,0,0,0,1,0,0,0,0
252,0,0,0,1,0,0,0,0,0,0
259,0,0,0,0,1,0,0,0,0,0
266,0,0,0,0,1,0,0,0,0,0
273,0,0,0,0,2,0,0,0,0,0
276,0,0,0,0,1,0,0,0,0,0
277,0,2,0,0,6,0,0,0,0,0
287,0,1,0,0,1,1,0,0,1,0
295,0,0,0,0,1,0,0,0,0,0
