matrix_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
1,0,0,0,10,0,1,0,0,0,0
3,0,0,0,1,0,0,0,0,0,0
6,0,0,0,3,0,0,0,0,0,0
8,0,0,0,1,0,0,0,0,1,0
9,0,0,0,0,0,1,0,0,0,0
11,0,0,0,1,0,1,0,0,0,0
14,0,0,0,2,0,1,0,0,1,0
16,0,0,0,1,0,0,0,0,0,0
18,0,6,7,26,0,8,2,0,6,1
21,0,0,0,1,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0
34,0,0,0,0,1,0,0,0,0,0
42,0,0,0,1,0,0,0,0,0,0
49,0,0,0,1,0,1,0,0,0,0
58,0,0,1,2,0,0,0,0,0,0
73,0,0,0,1,0,0,0,0,0,0
80,0,0,0,6,0,0,1,0,0,0
81,0,0,0,2,0,0,0,0,0,0
98,0,0,0,2,0,0,0,0,0,0
100,0,0,0,1,0,1,0,1,0,0
148,0,0,0,1,0,1,0,0,0,0
