id,count,bezeichnung_de,bezeichnung_fr,bezeichnung_it,bezeichnung_en,mean_sterne,meldung_ids
79,13,Zucker,sucre,zucchero,sugar,1.0,"[1648, 2088, 1907, 2191, 1123, 2015, 2439, 712, 846, 1744, 1892, 2056, 2340]"
165,13,Cadmium,Cadmium,Cadmio,Cadmium,1.31,"[1095, 1917, 263, 1290, 750, 392, 532, 1836, 989, 1689, 1898, 1908, 2639]"
102,12,Blei,Plomb,Piombo,Lead,1.25,"[1917, 2498, 2487, 263, 1290, 750, 701, 1836, 1689, 1908, 2478, 2639]"
528,12,Hochverarbeitete Lebensmittel (Ultra-processed Food),Aliment ultratransformé (AUT),Cibi ultralavorati,Ultra-processed Food (UPF),1.08,"[2223, 2298, 2371, 2545, 2575, 2283, 2483, 2224, 2466, 2445, 2448, 2396]"
45,10,Aspartam,Aspartam,Aspartam,Aspartam,1.3,"[809, 813, 602, 2009, 2297, 691, 938, 2480, 2594, 2615]"
187,10,Arsen,Arsenic,Arsenico,Arsenic,1.2,"[1095, 1917, 2487, 750, 392, 532, 1836, 659, 1898, 2639]"
125,9,Mikroplastik,microplastiques,microplastica,microplastics,1.22,"[524, 2064, 2116, 1030, 310, 453, 1362, 1235, 1314]"
167,8,Quecksilber,Mercure,Mercurio,Mercury,1.0,"[321, 1095, 1917, 750, 273, 532, 1689, 1908]"
128,8,Schwermetalle,métaux lourds,metalli pesanti,heavy metals,1.25,"[533, 1917, 2487, 263, 392, 783, 1908, 2478]"
145,7,Mangelernährung,Malnutrition,Malnutrizione,Malnutrition,1.14,"[1208, 1664, 2607, 76, 2571, 2588, 2622]"
91,6,Pestizide,pesticides,pesticidi,pesticide,1.33,"[417, 524, 798, 1938, 2660, 1511]"
126,6,Per- und polyfluorierte Alkylverbindungen (PFAS),Substances per- et polyfluoroalkylées (PFAS),Sostanze per- e polifluoroalchiliche (PFAS),Per- and polyfluoroalkyl substances (PFAS),1.0,"[908, 552, 2660, 1126, 952, 852]"
80,5,Salz,sel,sale,salt,1.4,"[1119, 1612, 1367, 1580, 1437]"
363,5,Lebensmittelzusatzstoff,additif alimentaire,additivo alimentare,food additive,1.6,"[1321, 1163, 1315, 1408, 2620]"
111,5,Mykotoxine,Mycotoxine,Micotossine,Mycotoxin,1.2,"[1653, 2282, 2450, 1886, 1923]"
197,4,Nitrite,Nitrite,Nitrito,Nitrite,1.75,"[226, 316, 259, 750]"
